#	PLAYER	TEAM	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	EFF
1	Luka Doncic	DAL	53	36.4	33.2	11.2	22.2	50.6	2.7	7.8	34.9	8.0	11.0	73.1	0.9	7.9	8.8	8.1	1.5	0.5	3.6	34.5
2	Joel Embiid	PHI	48	35.1	33.0	10.9	20.6	53.2	1.0	3.1	33.8	10.1	11.7	86.0	1.8	8.6	10.4	4.1	1.1	1.6	3.5	35.4
3	Damian Lillard	POR	49	36.3	32.3	9.8	20.7	47.2	4.2	11.2	37.7	8.5	9.3	92.1	0.7	3.7	4.4	7.1	0.9	0.3	3.2	30.1
4	Giannis Antetokounmpo	MIL	50	32.3	31.3	11.2	20.7	54.1	0.8	2.9	28.6	8.1	12.5	64.5	2.2	9.7	12.0	5.4	0.7	0.8	3.9	32.3
5	Shai Gilgeous-Alexander	OKC	54	35.5	31.0	10.2	20.2	50.7	0.9	2.6	33.8	9.6	10.6	90.8	0.9	3.9	4.7	5.7	1.6	1.1	2.9	30.3
6	Jayson Tatum	BOS	59	37.3	30.3	9.9	21.3	46.2	3.3	9.3	35.5	7.3	8.5	86.2	1.1	7.6	8.7	4.7	1.0	0.8	3.0	30.0
7	LeBron James	LAL	47	36.1	29.5	11.3	22.6	50.1	2.1	6.9	30.8	4.8	6.3	75.9	1.2	7.2	8.4	6.9	0.9	0.6	3.1	30.5
8	Donovan Mitchell	CLE	54	35.5	27.5	9.6	20.0	48.1	3.7	9.5	38.7	4.6	5.2	87.6	0.9	3.1	4.0	4.8	1.5	0.4	2.7	24.5
9	Ja Morant	MEM	52	32.5	27.1	9.6	20.7	46.5	1.6	5.1	31.2	6.3	8.5	74.2	1.1	4.9	6.0	8.2	1.1	0.3	3.4	26.0
10	Trae Young	ATL	55	35.3	27.1	8.5	19.9	42.9	2.2	6.6	32.7	7.9	8.8	88.9	0.7	2.2	2.9	10.1	1.0	0.2	4.1	24.9
11	Kyrie Irving	DAL	47	36.9	26.7	9.8	20.1	48.7	3.2	8.5	37.4	3.9	4.4	89.4	1.0	4.1	5.1	5.5	1.0	0.8	2.2	26.1
12	Jaylen Brown	BOS	51	35.8	26.3	9.8	20.2	48.5	2.5	7.5	33.7	4.2	5.4	77.9	1.2	5.7	6.9	3.2	1.1	0.4	3.0	23.4
13	De'Aaron Fox	SAC	55	34.1	25.4	9.4	18.3	51.5	1.6	4.8	33.1	4.9	6.3	78.6	0.5	3.8	4.3	6.3	1.1	0.3	2.7	24.5
14	Lauri Markkanen	UTA	57	34.4	25.3	8.5	16.7	51.2	3.1	7.5	40.9	5.1	5.8	88.0	1.9	6.7	8.6	1.8	0.6	0.6	1.9	26.1
15	Pascal Siakam	TOR	53	37.5	25.2	9.0	18.9	47.7	1.4	4.2	34.5	5.7	7.4	76.9	1.8	5.9	7.7	6.0	0.8	0.5	2.5	26.2
16	Julius Randle	NYK	64	35.8	25.0	8.5	18.3	46.3	2.8	8.1	34.7	5.2	6.9	75.6	2.1	8.4	10.5	4.2	0.7	0.3	2.8	26.3
17	DeMar DeRozan	CHI	57	36.1	25.0	9.0	17.8	50.8	0.5	1.5	30.7	6.4	7.4	87.6	0.5	4.1	4.6	5.1	1.0	0.5	2.2	24.2
18	Anthony Edwards	MIN	64	36.4	24.6	8.9	19.5	45.8	2.6	7.3	36.3	4.2	5.4	77.7	0.6	5.3	5.9	4.5	1.7	0.7	3.4	22.3
19	Nikola Jokic	DEN	55	33.6	24.6	9.4	14.8	63.3	0.8	2.1	39.8	5.0	6.1	82.2	2.3	9.4	11.7	10.0	1.3	0.7	3.6	38.2
20	Zach LaVine	CHI	59	35.9	24.3	8.5	17.8	47.7	2.8	7.3	37.8	4.6	5.5	84.5	0.5	4.2	4.7	3.9	0.9	0.2	2.6	21.5
21	Jalen Brunson	NYK	60	35.2	23.8	8.5	17.5	48.5	1.9	4.6	41.0	4.9	5.9	83.6	0.6	3.0	3.6	6.2	0.9	0.3	2.0	22.7
22	Paul George	LAC	47	34.4	23.5	8.1	17.6	46.2	2.9	7.7	38.3	4.4	5.0	86.9	0.7	5.4	6.1	5.2	1.5	0.4	3.3	23.2
23	Kristaps Porzingis	WAS	51	32.6	22.8	7.4	15.2	48.7	2.1	5.5	37.6	5.9	7.0	84.6	1.9	6.7	8.6	2.5	0.9	1.5	2.2	25.2
24	Klay Thompson	GSW	50	32.8	22.1	7.9	18.5	42.7	4.4	10.7	40.9	1.9	2.1	89.6	0.7	3.3	4.0	2.5	0.7	0.3	1.8	16.9
25	Darius Garland	CLE	55	35.2	22.0	7.6	16.2	47.0	2.6	6.1	42.4	4.2	4.9	85.8	0.4	2.2	2.7	7.9	1.3	0.1	2.9	21.8
26	Keldon Johnson	SAS	55	32.7	21.8	7.9	17.5	45.0	2.1	6.5	32.0	4.1	5.3	76.9	0.8	4.0	4.8	2.8	0.7	0.2	2.1	17.4
27	Jimmy Butler	MIA	48	33.3	21.8	7.2	13.9	52.0	0.5	1.6	32.1	6.8	8.1	84.5	2.2	3.7	5.9	5.0	2.0	0.3	1.7	25.4
28	Jalen Green	HOU	56	33.6	21.7	7.3	17.7	41.0	2.6	7.6	33.8	4.6	5.8	78.7	0.5	3.4	3.9	3.6	0.8	0.3	2.8	15.8
29	James Harden	PHI	45	36.7	21.6	6.5	14.6	44.9	2.9	7.3	39.4	5.7	6.5	86.7	0.6	5.6	6.2	10.6	1.2	0.6	3.4	27.9
30	Bojan Bogdanovic	DET	59	32.1	21.6	7.3	14.9	48.8	2.5	6.0	41.1	4.5	5.1	88.4	0.6	3.2	3.8	2.6	0.6	0.1	2.3	18.1
31	Terry Rozier	CHA	53	35.7	21.4	7.9	19.0	41.4	2.7	8.2	32.9	2.9	3.6	81.3	0.9	3.3	4.2	4.8	1.1	0.2	2.1	17.7
32	Kyle Kuzma	WAS	56	35.1	21.3	8.1	18.1	44.5	2.5	7.7	33.0	2.6	3.7	72.2	0.9	6.5	7.4	3.8	0.5	0.5	2.9	19.5
33	Bam Adebayo	MIA	58	34.9	21.2	8.4	15.6	53.8	0.0	0.2	8.3	4.4	5.5	80.3	2.6	7.2	9.8	3.2	1.2	0.8	2.5	25.3
34	Anfernee Simons	POR	57	35.3	21.1	7.5	16.8	44.8	3.4	9.1	37.8	2.6	2.8	91.3	0.3	2.4	2.7	4.1	0.7	0.2	2.1	17.1
35	CJ McCollum	NOP	56	35.0	21.0	7.9	18.1	43.5	2.8	7.3	37.7	2.5	3.1	79.3	0.8	3.5	4.3	5.9	0.9	0.6	2.6	19.2
36	Jordan Clarkson	UTA	60	32.6	20.9	7.5	16.9	44.5	2.6	7.6	34.1	3.2	4.0	81.9	1.2	2.9	4.0	4.3	0.5	0.2	3.1	16.8
37	Dejounte Murray	ATL	57	36.4	20.8	8.4	18.1	46.6	2.1	5.6	36.3	2.0	2.4	83.7	0.7	4.7	5.5	6.1	1.5	0.3	2.2	21.9
38	Jerami Grant	POR	57	35.7	20.8	7.0	14.6	48.1	2.3	5.6	40.4	4.5	5.5	81.3	0.8	3.5	4.4	2.3	0.8	0.8	1.8	18.6
39	Jordan Poole	GSW	62	30.7	20.8	7.0	16.3	43.2	2.6	8.0	32.9	4.1	4.8	86.1	0.4	2.4	2.8	4.6	0.8	0.2	3.3	16.1
40	Tyler Herro	MIA	49	35.2	20.3	7.3	17.1	42.9	3.0	8.1	36.8	2.6	2.8	92.1	0.5	5.1	5.6	4.3	0.8	0.3	2.4	19.0
41	Jamal Murray	DEN	49	32.6	20.1	7.3	16.1	45.6	2.5	6.4	38.8	3.0	3.6	83.0	0.8	3.3	4.1	6.0	1.0	0.2	2.1	19.8
42	Tyrese Haliburton	IND	51	33.6	20.1	7.2	14.9	48.2	2.8	7.1	39.8	2.9	3.4	86.0	0.6	3.1	3.7	10.1	1.7	0.5	2.5	25.4
